year	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1866	1.8078e-01	8.0293e-02	1.1133e-01	1.9729e-01	2.4252e-01	-6.8004e-01	3.4884e-01	1.4439e-02	-1.0824e-01	-3.5311e-02	
1867	1.9344e-01	7.9335e-02	1.1008e-01	1.9787e-01	2.4543e-01	-6.7705e-01	3.5247e-01	1.5253e-02	-1.0708e-01	-3.5065e-02	
1868	2.2000e-01	8.0845e-02	1.1209e-01	1.9814e-01	2.4618e-01	-6.7484e-01	3.6827e-01	1.6038e-02	-1.0641e-01	-3.4508e-02	
1869	2.4091e-01	8.0024e-02	1.1093e-01	1.9947e-01	2.4845e-01	-6.7069e-01	3.8045e-01	1.6290e-02	-1.0574e-01	-3.2975e-02	
1870	2.5206e-01	8.1471e-02	1.1298e-01	1.9992e-01	2.5105e-01	-6.6609e-01	3.7885e-01	1.6853e-02	-1.0489e-01	-3.1028e-02	
1871	2.6273e-01	8.0628e-02	1.1177e-01	2.0099e-01	2.5245e-01	-6.6268e-01	3.8081e-01	1.7683e-02	-1.0322e-01	-3.0274e-02	
1872	2.8134e-01	8.1894e-02	1.1394e-01	2.0119e-01	2.5276e-01	-6.5956e-01	3.8665e-01	1.8281e-02	-1.0130e-01	-3.0206e-02	
1873	2.8215e-01	8.1290e-02	1.1262e-01	2.0213e-01	2.5389e-01	-6.5605e-01	3.8088e-01	1.8308e-02	-9.9262e-02	-2.9226e-02	
1874	2.9638e-01	8.2473e-02	1.1469e-01	2.0221e-01	2.5484e-01	-6.5431e-01	3.8630e-01	1.8920e-02	-9.7461e-02	-2.7498e-02	
1875	3.0770e-01	8.1671e-02	1.1311e-01	2.0274e-01	2.5542e-01	-6.5621e-01	3.9830e-01	1.9768e-02	-9.6705e-02	-2.6569e-02	
1876	3.2954e-01	8.2839e-02	1.1508e-01	2.0292e-01	2.5533e-01	-6.5418e-01	4.1177e-01	1.9992e-02	-9.6377e-02	-2.6241e-02	
1877	3.3152e-01	8.2001e-02	1.1357e-01	2.0370e-01	2.5659e-01	-6.5099e-01	4.1074e-01	2.0100e-02	-9.6526e-02	-2.5949e-02	
1878	3.3733e-01	8.3223e-02	1.1563e-01	2.0404e-01	2.5682e-01	-6.5176e-01	4.1025e-01	2.0275e-02	-9.5756e-02	-2.4765e-02	
1879	3.4141e-01	8.2139e-02	1.1420e-01	2.0446e-01	2.5840e-01	-6.5054e-01	4.1251e-01	2.1198e-02	-9.4096e-02	-2.3733e-02	
1880	3.4650e-01	8.3770e-02	1.1641e-01	2.0514e-01	2.5875e-01	-6.4900e-01	4.0674e-01	2.1728e-02	-9.2075e-02	-2.3323e-02	
1881	3.5603e-01	8.2779e-02	1.1507e-01	2.0559e-01	2.5991e-01	-6.4691e-01	4.0948e-01	2.1948e-02	-8.9751e-02	-2.2762e-02	
1882	3.8171e-01	8.4139e-02	1.1721e-01	2.0614e-01	2.6092e-01	-6.4114e-01	4.2107e-01	2.2818e-02	-8.8076e-02	-2.1611e-02	
1883	3.9328e-01	8.3048e-02	1.1578e-01	2.0716e-01	2.6268e-01	-6.3712e-01	4.2597e-01	2.3654e-02	-8.7712e-02	-1.9878e-02	
1884	4.1459e-01	8.4693e-02	1.1820e-01	2.0800e-01	2.6449e-01	-6.3023e-01	4.3149e-01	2.4306e-02	-8.7379e-02	-1.8716e-02	
1885	4.3928e-01	8.3779e-02	1.1715e-01	2.0898e-01	2.6808e-01	-6.2669e-01	4.4321e-01	2.5138e-02	-8.6386e-02	-1.7423e-02	
1886	4.6564e-01	8.5628e-02	1.1958e-01	2.0999e-01	2.6999e-01	-6.2654e-01	4.5880e-01	2.5600e-02	-8.4099e-02	-1.6265e-02	
1887	4.8313e-01	8.4554e-02	1.1834e-01	2.1092e-01	2.7271e-01	-6.2048e-01	4.6137e-01	2.6175e-02	-8.0750e-02	-1.4669e-02	
1888	5.0392e-01	8.6326e-02	1.2096e-01	2.1186e-01	2.7486e-01	-6.1500e-01	4.6622e-01	2.6863e-02	-7.7332e-02	-1.3223e-02	
1889	5.1401e-01	8.5260e-02	1.1959e-01	2.1212e-01	2.7743e-01	-6.0834e-01	4.6311e-01	2.7903e-02	-7.4863e-02	-1.2211e-02	
1890	5.4481e-01	8.6971e-02	1.2219e-01	2.1297e-01	2.7915e-01	-6.0685e-01	4.7961e-01	2.8833e-02	-7.3737e-02	-1.0977e-02	
